Architecture,Layers,Neurons,Activation,Validation_Loss
"2 layers, 10 neurons",2,10,ELU,0.3032705783843994
"2 layers, 10 neurons",2,10,LEAKY_RELU,0.2998861074447632
"2 layers, 10 neurons",2,10,RELU,0.2803206145763397
"2 layers, 10 neurons",2,10,TANH,0.2902279496192932
"2 layers, 15 neurons",2,15,ELU,0.28944092988967896
"2 layers, 15 neurons",2,15,LEAKY_RELU,0.27686741948127747
"2 layers, 15 neurons",2,15,RELU,0.2738529443740845
"2 layers, 15 neurons",2,15,TANH,0.2731975317001343
"2 layers, 20 neurons",2,20,ELU,0.28922948241233826
"2 layers, 20 neurons",2,20,LEAKY_RELU,0.2678181231021881
"2 layers, 20 neurons",2,20,RELU,0.24992813169956207
"2 layers, 20 neurons",2,20,TANH,0.2760462760925293
"3 layers, 10 neurons",3,10,ELU,0.2922729551792145
"3 layers, 10 neurons",3,10,LEAKY_RELU,0.269632488489151
"3 layers, 10 neurons",3,10,RELU,0.2760807275772095
"3 layers, 10 neurons",3,10,TANH,0.2770901918411255
"3 layers, 15 neurons",3,15,ELU,0.26080232858657837
"3 layers, 15 neurons",3,15,LEAKY_RELU,0.2593724727630615
"3 layers, 15 neurons",3,15,RELU,0.2519374191761017
"3 layers, 15 neurons",3,15,TANH,0.2558342218399048
"3 layers, 20 neurons",3,20,ELU,0.26485973596572876
"3 layers, 20 neurons",3,20,LEAKY_RELU,0.24440787732601166
"3 layers, 20 neurons",3,20,RELU,0.2383309304714203
"3 layers, 20 neurons",3,20,TANH,0.24421526491641998
"4 layers, 10 neurons",4,10,ELU,0.2709367275238037
"4 layers, 10 neurons",4,10,LEAKY_RELU,0.2713799774646759
"4 layers, 10 neurons",4,10,RELU,0.2634046971797943
"4 layers, 10 neurons",4,10,TANH,0.2642608880996704
"4 layers, 15 neurons",4,15,ELU,0.2496638149023056
"4 layers, 15 neurons",4,15,LEAKY_RELU,0.23650413751602173
"4 layers, 15 neurons",4,15,RELU,0.24564042687416077
"4 layers, 15 neurons",4,15,TANH,0.24086794257164001
"4 layers, 20 neurons",4,20,ELU,0.24231810867786407
"4 layers, 20 neurons",4,20,LEAKY_RELU,0.239903524518013
"4 layers, 20 neurons",4,20,RELU,0.23231683671474457
"4 layers, 20 neurons",4,20,TANH,0.23975206911563873
"5 layers, 10 neurons",5,10,ELU,0.25586432218551636
"5 layers, 10 neurons",5,10,LEAKY_RELU,0.26139703392982483
"5 layers, 10 neurons",5,10,RELU,0.2575955092906952
"5 layers, 10 neurons",5,10,TANH,0.2506006956100464
"5 layers, 15 neurons",5,15,ELU,0.24024158716201782
"5 layers, 15 neurons",5,15,LEAKY_RELU,0.2348197102546692
"5 layers, 15 neurons",5,15,RELU,0.23216688632965088
"5 layers, 15 neurons",5,15,TANH,0.23863191902637482
"5 layers, 20 neurons",5,20,ELU,0.23390783369541168
"5 layers, 20 neurons",5,20,LEAKY_RELU,0.23039136826992035
"5 layers, 20 neurons",5,20,RELU,0.22999070584774017
"5 layers, 20 neurons",5,20,TANH,0.2292836308479309
"6 layers, 10 neurons",6,10,ELU,0.24237693846225739
"6 layers, 10 neurons",6,10,LEAKY_RELU,0.25759732723236084
"6 layers, 10 neurons",6,10,RELU,0.27621597051620483
"6 layers, 10 neurons",6,10,TANH,0.25191938877105713
"6 layers, 15 neurons",6,15,ELU,0.23367542028427124
"6 layers, 15 neurons",6,15,LEAKY_RELU,0.2268138825893402
"6 layers, 15 neurons",6,15,RELU,0.23889778554439545
"6 layers, 15 neurons",6,15,TANH,0.23314723372459412
"6 layers, 20 neurons",6,20,ELU,0.2256864756345749
"6 layers, 20 neurons",6,20,LEAKY_RELU,0.2257165163755417
"6 layers, 20 neurons",6,20,RELU,0.23103365302085876
"6 layers, 20 neurons",6,20,TANH,0.23037700355052948
"7 layers, 10 neurons",7,10,ELU,0.24719476699829102
"7 layers, 10 neurons",7,10,LEAKY_RELU,0.2575511038303375
"7 layers, 10 neurons",7,10,RELU,0.26692602038383484
"7 layers, 10 neurons",7,10,TANH,0.24582421779632568
"7 layers, 15 neurons",7,15,ELU,0.23036761581897736
"7 layers, 15 neurons",7,15,LEAKY_RELU,0.2397696077823639
"7 layers, 15 neurons",7,15,RELU,0.24970073997974396
"7 layers, 15 neurons",7,15,TANH,0.23846280574798584
"7 layers, 20 neurons",7,20,ELU,0.21925455331802368
"7 layers, 20 neurons",7,20,LEAKY_RELU,0.22709429264068604
"7 layers, 20 neurons",7,20,RELU,0.22281305491924286
"7 layers, 20 neurons",7,20,TANH,0.22716063261032104
"8 layers, 10 neurons",8,10,ELU,0.23449836671352386
"8 layers, 10 neurons",8,10,LEAKY_RELU,0.24527263641357422
"8 layers, 10 neurons",8,10,RELU,0.2680973708629608
"8 layers, 10 neurons",8,10,TANH,0.25325527787208557
"8 layers, 15 neurons",8,15,ELU,0.2253725379705429
"8 layers, 15 neurons",8,15,LEAKY_RELU,0.2357155829668045
"8 layers, 15 neurons",8,15,RELU,0.2338361293077469
"8 layers, 15 neurons",8,15,TANH,0.23953014612197876
"8 layers, 20 neurons",8,20,ELU,0.2240455597639084
"8 layers, 20 neurons",8,20,LEAKY_RELU,0.22494658827781677
"8 layers, 20 neurons",8,20,RELU,0.23130084574222565
"8 layers, 20 neurons",8,20,TANH,0.22442328929901123
"9 layers, 10 neurons",9,10,ELU,0.23648601770401
"9 layers, 10 neurons",9,10,LEAKY_RELU,0.2593288719654083
"9 layers, 10 neurons",9,10,RELU,0.26533734798431396
"9 layers, 10 neurons",9,10,TANH,0.2720537483692169
"9 layers, 15 neurons",9,15,ELU,0.22138409316539764
"9 layers, 15 neurons",9,15,LEAKY_RELU,0.23444195091724396
"9 layers, 15 neurons",9,15,RELU,0.22865398228168488
"9 layers, 15 neurons",9,15,TANH,0.23568278551101685
"9 layers, 20 neurons",9,20,ELU,0.22119896113872528
"9 layers, 20 neurons",9,20,LEAKY_RELU,0.216133251786232
"9 layers, 20 neurons",9,20,RELU,0.22962795197963715
"9 layers, 20 neurons",9,20,TANH,0.22800475358963013
"10 layers, 10 neurons",10,10,ELU,0.2559521198272705
"10 layers, 10 neurons",10,10,LEAKY_RELU,0.25967350602149963
"10 layers, 10 neurons",10,10,RELU,0.2616528272628784
"10 layers, 10 neurons",10,10,TANH,0.25797581672668457
"10 layers, 15 neurons",10,15,ELU,0.22777462005615234
"10 layers, 15 neurons",10,15,LEAKY_RELU,0.2291153073310852
"10 layers, 15 neurons",10,15,RELU,0.24008606374263763
"10 layers, 15 neurons",10,15,TANH,0.23541057109832764
"10 layers, 20 neurons",10,20,ELU,0.22109022736549377
"10 layers, 20 neurons",10,20,LEAKY_RELU,0.22690968215465546
"10 layers, 20 neurons",10,20,RELU,0.23057261109352112
"10 layers, 20 neurons",10,20,TANH,0.22567328810691833
